scenario,family,model,n_train,accuracy,auc_roc,f1,precision,recall,block,ldp_eps,aug_method
ldp_baseline_eps3,logistic_regression,ldp_baseline_eps3_logistic_regression,5554,0.6779935275080906,0.7218422830124958,0.6135922330097089,0.6781115879828327,0.5602836879432624,ldp,3.0,none
ldp_baseline_eps3,random_forest,ldp_baseline_eps3_random_forest,5554,0.6715210355987055,0.7324911347517731,0.6247689463955638,0.6525096525096525,0.599290780141844,ldp,3.0,none
ldp_baseline_eps3,xgboost,ldp_baseline_eps3_xgboost,5554,0.6472491909385113,0.7011144883485309,0.6036363636363636,0.6194029850746269,0.5886524822695035,ldp,3.0,none
ldp_SCM_eps3,logistic_regression,ldp_SCM_eps3_logistic_regression,11102,0.6682847896440129,0.7173463356973995,0.5824847250509165,0.6842105263157895,0.5070921985815603,ldp,3.0,SCM
ldp_SCM_eps3,random_forest,ldp_SCM_eps3_random_forest,11102,0.6731391585760518,0.7291350050658562,0.6245353159851301,0.65625,0.5957446808510638,ldp,3.0,SCM
ldp_SCM_eps3,xgboost,ldp_SCM_eps3_xgboost,11102,0.6423948220064725,0.6856003039513677,0.5930018416206261,0.6168582375478927,0.5709219858156028,ldp,3.0,SCM
ldp_update_labels_eps3,logistic_regression,ldp_update_labels_eps3_logistic_regression,5554,0.6521035598705501,0.714644545761567,0.6221441124780317,0.6167247386759582,0.6276595744680851,ldp,3.0,update_labels
ldp_update_labels_eps3,random_forest,ldp_update_labels_eps3_random_forest,5554,0.6666666666666666,0.7080483789260386,0.6385964912280703,0.6319444444444444,0.6453900709219859,ldp,3.0,update_labels
ldp_update_labels_eps3,xgboost,ldp_update_labels_eps3_xgboost,5554,0.6359223300970874,0.6877005234718,0.6003552397868561,0.6014234875444839,0.599290780141844,ldp,3.0,update_labels
ldp_add_comparators_eps3,logistic_regression,ldp_add_comparators_eps3_logistic_regression,8230,0.6715210355987055,0.7225704998311382,0.5653104925053534,0.7135135135135136,0.46808510638297873,ldp,3.0,add_comparators
ldp_add_comparators_eps3,random_forest,ldp_add_comparators_eps3_random_forest,8230,0.6731391585760518,0.7326177811550152,0.6085271317829457,0.6709401709401709,0.5567375886524822,ldp,3.0,add_comparators
ldp_add_comparators_eps3,xgboost,ldp_add_comparators_eps3_xgboost,8230,0.6456310679611651,0.6934523809523808,0.5875706214689266,0.6265060240963856,0.5531914893617021,ldp,3.0,add_comparators
ldp_add_comparators_bidir_eps3,logistic_regression,ldp_add_comparators_bidir_eps3_logistic_regression,11105,0.6731391585760518,0.7199636946977372,0.5791666666666666,0.702020202020202,0.4929078014184397,ldp,3.0,add_comparators_bidir
ldp_add_comparators_bidir_eps3,random_forest,ldp_add_comparators_bidir_eps3_random_forest,11105,0.6844660194174758,0.7328816278284364,0.627151051625239,0.6804979253112033,0.5815602836879432,ldp,3.0,add_comparators_bidir
ldp_add_comparators_bidir_eps3,xgboost,ldp_add_comparators_bidir_eps3_xgboost,11105,0.6375404530744336,0.685378672745694,0.5773584905660377,0.6169354838709677,0.5425531914893617,ldp,3.0,add_comparators_bidir
fl_ldp_eps3_baseline,lr,baseline_lr,5554,0.6779935275080906,0.7218422830124958,0.6135922330097089,0.6781115879828327,0.5602836879432624,ldp,3.0,fairlearn
fl_ldp_eps3_baseline,rf,baseline_rf,5554,0.6715210355987055,0.7324911347517731,0.6247689463955638,0.6525096525096525,0.599290780141844,ldp,3.0,fairlearn
fl_ldp_eps3_baseline,xgb,baseline_xgb,5554,0.6472491909385113,0.7011144883485309,0.6036363636363636,0.6194029850746269,0.5886524822695035,ldp,3.0,fairlearn
fl_ldp_eps3_eg_dp,lr,eg_dp_lr,5554,0.6682847896440129,0.713684143870314,0.594059405940594,0.672645739910314,0.5319148936170213,ldp,3.0,fairlearn
fl_ldp_eps3_eg_dp,rf,eg_dp_rf,5554,0.6747572815533981,0.7220005910165485,0.6365280289330921,0.6494464944649446,0.624113475177305,ldp,3.0,fairlearn
fl_ldp_eps3_eg_dp,xgb,eg_dp_xgb,5554,0.6488673139158576,0.696586879432624,0.6075949367088608,0.6199261992619927,0.5957446808510638,ldp,3.0,fairlearn
fl_ldp_eps3_eg_eo,lr,eg_eo_lr,5554,0.6666666666666666,0.7173568895643364,0.59765625,0.6652173913043479,0.5425531914893617,ldp,3.0,fairlearn
fl_ldp_eps3_eg_eo,rf,eg_eo_rf,5554,0.6699029126213593,0.7250189969604864,0.6236162361623617,0.65,0.599290780141844,ldp,3.0,fairlearn
fl_ldp_eps3_eg_eo,xgb,eg_eo_xgb,5554,0.6472491909385113,0.699742485646741,0.6093189964157706,0.6159420289855072,0.6028368794326241,ldp,3.0,fairlearn
fl_ldp_eps3_eg_tpr,lr,eg_tpr_lr,5554,0.6553398058252428,0.7152144545761567,0.5831702544031311,0.6506550218340611,0.5283687943262412,ldp,3.0,fairlearn
fl_ldp_eps3_eg_tpr,rf,eg_tpr_rf,5554,0.6682847896440129,0.7259793988517393,0.6306306306306306,0.6410256410256411,0.6205673758865248,ldp,3.0,fairlearn
fl_ldp_eps3_eg_tpr,xgb,eg_tpr_xgb,5554,0.6521035598705501,0.6993731003039514,0.6112115732368897,0.6236162361623616,0.599290780141844,ldp,3.0,fairlearn
fl_ldp_eps3_gs_dp,lr,gs_dp_lr,5554,0.656957928802589,0.7119005403579872,0.5843137254901962,0.6535087719298246,0.5283687943262412,ldp,3.0,fairlearn
fl_ldp_eps3_gs_dp,rf,gs_dp_rf,5554,0.6585760517799353,0.7165970111448835,0.6252220248667851,0.6263345195729537,0.624113475177305,ldp,3.0,fairlearn
fl_ldp_eps3_gs_dp,xgb,gs_dp_xgb,5554,0.6343042071197411,0.6878588314758527,0.5978647686832739,0.6,0.5957446808510638,ldp,3.0,fairlearn
fl_ldp_eps3_gs_eo,lr,gs_eo_lr,5554,0.6779935275080906,0.7218422830124958,0.6135922330097089,0.6781115879828327,0.5602836879432624,ldp,3.0,fairlearn
fl_ldp_eps3_gs_eo,rf,gs_eo_rf,5554,0.6715210355987055,0.7324911347517731,0.6247689463955638,0.6525096525096525,0.599290780141844,ldp,3.0,fairlearn
fl_ldp_eps3_gs_eo,xgb,gs_eo_xgb,5554,0.6472491909385113,0.7011144883485309,0.6036363636363636,0.6194029850746269,0.5886524822695035,ldp,3.0,fairlearn
fl_ldp_eps3_to_dp,lr,to_dp_lr,5554,0.6585760517799353,0.7218422830124958,0.6417657045840408,0.6156351791530945,0.6702127659574468,ldp,3.0,fairlearn
fl_ldp_eps3_to_dp,rf,to_dp_rf,5554,0.6731391585760518,0.7324911347517731,0.6505190311418685,0.6351351351351351,0.6666666666666666,ldp,3.0,fairlearn
fl_ldp_eps3_to_dp,xgb,to_dp_xgb,5554,0.6359223300970874,0.7011144883485309,0.6140651801029159,0.5946843853820598,0.6347517730496454,ldp,3.0,fairlearn
fl_ldp_eps3_to_eo,lr,to_eo_lr,5554,0.6504854368932039,0.7218422830124958,0.6326530612244897,0.6078431372549019,0.6595744680851063,ldp,3.0,fairlearn
fl_ldp_eps3_to_eo,rf,to_eo_rf,5554,0.6699029126213593,0.7324911347517731,0.6165413533834587,0.656,0.5815602836879432,ldp,3.0,fairlearn
fl_ldp_eps3_to_eo,xgb,to_eo_xgb,5554,0.63915857605178,0.7011144883485309,0.6188034188034188,0.5973597359735974,0.6418439716312057,ldp,3.0,fairlearn
ldp_baseline_eps5,logistic_regression,ldp_baseline_eps5_logistic_regression,5554,0.6763754045307443,0.722243329956096,0.6124031007751939,0.6752136752136753,0.5602836879432624,ldp,5.0,none
ldp_baseline_eps5,random_forest,ldp_baseline_eps5_random_forest,5554,0.6747572815533981,0.729968760553867,0.6284658040665435,0.6563706563706564,0.6028368794326241,ldp,5.0,none
ldp_baseline_eps5,xgboost,ldp_baseline_eps5_xgboost,5554,0.6407766990291263,0.7013888888888888,0.5948905109489052,0.6127819548872181,0.5780141843971631,ldp,5.0,none
ldp_SCM_eps5,logistic_regression,ldp_SCM_eps5_logistic_regression,11102,0.6682847896440129,0.7170930428909152,0.5824847250509165,0.6842105263157895,0.5070921985815603,ldp,5.0,SCM
ldp_SCM_eps5,random_forest,ldp_SCM_eps5_random_forest,11102,0.6747572815533981,0.7329238432961838,0.6256983240223464,0.6588235294117647,0.5957446808510638,ldp,5.0,SCM
ldp_SCM_eps5,xgboost,ldp_SCM_eps5_xgboost,11102,0.6472491909385113,0.6829618372171562,0.5962962962962962,0.624031007751938,0.5709219858156028,ldp,5.0,SCM
ldp_update_labels_eps5,logistic_regression,ldp_update_labels_eps5_logistic_regression,5554,0.6634304207119741,0.7150244849712935,0.624548736462094,0.6360294117647058,0.6134751773049646,ldp,5.0,update_labels
ldp_update_labels_eps5,random_forest,ldp_update_labels_eps5_random_forest,5554,0.6699029126213593,0.7167236575481257,0.6395759717314488,0.6373239436619719,0.6418439716312057,ldp,5.0,update_labels
ldp_update_labels_eps5,xgboost,ldp_update_labels_eps5_xgboost,5554,0.6585760517799353,0.6930724417426544,0.6252220248667851,0.6263345195729537,0.624113475177305,ldp,5.0,update_labels
ldp_add_comparators_eps5,logistic_regression,ldp_add_comparators_eps5_logistic_regression,8209,0.6699029126213593,0.7225282843633907,0.5659574468085106,0.7074468085106383,0.4716312056737589,ldp,5.0,add_comparators
ldp_add_comparators_eps5,random_forest,ldp_add_comparators_eps5_random_forest,8209,0.6747572815533981,0.7335254137115839,0.6127167630057804,0.6708860759493671,0.5638297872340425,ldp,5.0,add_comparators
ldp_add_comparators_eps5,xgboost,ldp_add_comparators_eps5_xgboost,8209,0.6456310679611651,0.6916898851739277,0.5875706214689266,0.6265060240963856,0.5531914893617021,ldp,5.0,add_comparators
ldp_add_comparators_bidir_eps5,logistic_regression,ldp_add_comparators_bidir_eps5_logistic_regression,11104,0.6747572815533981,0.7200481256332321,0.5821205821205822,0.7035175879396985,0.49645390070921985,ldp,5.0,add_comparators_bidir
ldp_add_comparators_bidir_eps5,random_forest,ldp_add_comparators_bidir_eps5_random_forest,11104,0.6796116504854369,0.7324911347517731,0.6192307692307691,0.6764705882352942,0.5709219858156028,ldp,5.0,add_comparators_bidir
ldp_add_comparators_bidir_eps5,xgboost,ldp_add_comparators_bidir_eps5_xgboost,11104,0.6456310679611651,0.682919621749409,0.5828571428571429,0.6296296296296297,0.5425531914893617,ldp,5.0,add_comparators_bidir
fl_ldp_eps5_baseline,lr,baseline_lr,5554,0.6763754045307443,0.722243329956096,0.6124031007751939,0.6752136752136753,0.5602836879432624,ldp,5.0,fairlearn
fl_ldp_eps5_baseline,rf,baseline_rf,5554,0.6747572815533981,0.729968760553867,0.6284658040665435,0.6563706563706564,0.6028368794326241,ldp,5.0,fairlearn
fl_ldp_eps5_baseline,xgb,baseline_xgb,5554,0.6407766990291263,0.7013888888888888,0.5948905109489052,0.6127819548872181,0.5780141843971631,ldp,5.0,fairlearn
fl_ldp_eps5_eg_dp,lr,eg_dp_lr,5554,0.6634304207119741,0.7121432792975345,0.5953307392996109,0.6594827586206896,0.5425531914893617,ldp,5.0,fairlearn
fl_ldp_eps5_eg_dp,rf,eg_dp_rf,5554,0.6682847896440129,0.7191827085444107,0.6358792184724689,0.6370106761565836,0.6347517730496454,ldp,5.0,fairlearn
fl_ldp_eps5_eg_dp,xgb,eg_dp_xgb,5554,0.6407766990291263,0.6942861364403917,0.6007194244604317,0.6094890510948905,0.5921985815602837,ldp,5.0,fairlearn
fl_ldp_eps5_eg_eo,lr,eg_eo_lr,5554,0.6585760517799353,0.7090087808172915,0.6011342155009451,0.6437246963562753,0.5638297872340425,ldp,5.0,fairlearn
fl_ldp_eps5_eg_eo,rf,eg_eo_rf,5554,0.6763754045307443,0.722507176629517,0.6415770609318997,0.6485507246376812,0.6347517730496454,ldp,5.0,fairlearn
fl_ldp_eps5_eg_eo,xgb,eg_eo_xgb,5554,0.6343042071197411,0.6963546943600136,0.5860805860805861,0.6060606060606061,0.5673758865248227,ldp,5.0,fairlearn
fl_ldp_eps5_eg_tpr,lr,eg_tpr_lr,5554,0.6666666666666666,0.7140957446808511,0.59765625,0.6652173913043479,0.5425531914893617,ldp,5.0,fairlearn
fl_ldp_eps5_eg_tpr,rf,eg_tpr_rf,5554,0.6731391585760518,0.7237841945288753,0.6353790613718412,0.6470588235294118,0.624113475177305,ldp,5.0,fairlearn
fl_ldp_eps5_eg_tpr,xgb,eg_tpr_xgb,5554,0.6472491909385113,0.6977372509287403,0.605072463768116,0.6185185185185185,0.5921985815602837,ldp,5.0,fairlearn
fl_ldp_eps5_gs_dp,lr,gs_dp_lr,5554,0.6585760517799353,0.7112462006079028,0.5870841487279843,0.6550218340611353,0.5319148936170213,ldp,5.0,fairlearn
fl_ldp_eps5_gs_dp,rf,gs_dp_rf,5554,0.6537216828478964,0.7127659574468086,0.6178571428571429,0.6223021582733813,0.6134751773049646,ldp,5.0,fairlearn
fl_ldp_eps5_gs_dp,xgb,gs_dp_xgb,5554,0.6440129449838188,0.6888720027017899,0.6057347670250897,0.6123188405797102,0.599290780141844,ldp,5.0,fairlearn
fl_ldp_eps5_gs_eo,lr,gs_eo_lr,5554,0.6763754045307443,0.722243329956096,0.6124031007751939,0.6752136752136753,0.5602836879432624,ldp,5.0,fairlearn
fl_ldp_eps5_gs_eo,rf,gs_eo_rf,5554,0.6747572815533981,0.729968760553867,0.6284658040665435,0.6563706563706564,0.6028368794326241,ldp,5.0,fairlearn
fl_ldp_eps5_gs_eo,xgb,gs_eo_xgb,5554,0.6407766990291263,0.7013888888888888,0.5948905109489052,0.6127819548872181,0.5780141843971631,ldp,5.0,fairlearn
fl_ldp_eps5_to_dp,lr,to_dp_lr,5554,0.656957928802589,0.722243329956096,0.636986301369863,0.6158940397350994,0.6595744680851063,ldp,5.0,fairlearn
fl_ldp_eps5_to_dp,rf,to_dp_rf,5554,0.6747572815533981,0.729968760553867,0.6633165829145728,0.6285714285714286,0.7021276595744681,ldp,5.0,fairlearn
fl_ldp_eps5_to_dp,xgb,to_dp_xgb,5554,0.6294498381877023,0.7013888888888888,0.6058519793459552,0.5886287625418061,0.624113475177305,ldp,5.0,fairlearn
fl_ldp_eps5_to_eo,lr,to_eo_lr,5554,0.6537216828478964,0.722243329956096,0.6433333333333333,0.6069182389937107,0.6843971631205674,ldp,5.0,fairlearn
fl_ldp_eps5_to_eo,rf,to_eo_rf,5554,0.6925566343042071,0.729968760553867,0.6631205673758865,0.6631205673758865,0.6631205673758865,ldp,5.0,fairlearn
fl_ldp_eps5_to_eo,xgb,to_eo_xgb,5554,0.6326860841423948,0.7013888888888888,0.6065857885615251,0.5932203389830508,0.6205673758865248,ldp,5.0,fairlearn
ldp_baseline_eps10,logistic_regression,ldp_baseline_eps10_logistic_regression,5554,0.6779935275080906,0.7222538838230328,0.6135922330097089,0.6781115879828327,0.5602836879432624,ldp,10.0,none
ldp_baseline_eps10,random_forest,ldp_baseline_eps10_random_forest,5554,0.6812297734627831,0.7329660587639311,0.6358595194085028,0.6640926640926641,0.6099290780141844,ldp,10.0,none
ldp_baseline_eps10,xgboost,ldp_baseline_eps10_xgboost,5554,0.6521035598705501,0.7052727119216481,0.6069469835466178,0.6264150943396226,0.5886524822695035,ldp,10.0,none
ldp_SCM_eps10,logistic_regression,ldp_SCM_eps10_logistic_regression,11106,0.6682847896440129,0.7171352583586627,0.5824847250509165,0.6842105263157895,0.5070921985815603,ldp,10.0,SCM
ldp_SCM_eps10,random_forest,ldp_SCM_eps10_random_forest,11106,0.6763754045307443,0.7324067038162783,0.6282527881040892,0.66015625,0.599290780141844,ldp,10.0,SCM
ldp_SCM_eps10,xgboost,ldp_SCM_eps10_xgboost,11106,0.6359223300970874,0.6810093718338399,0.585635359116022,0.6091954022988506,0.5638297872340425,ldp,10.0,SCM
ldp_update_labels_eps10,logistic_regression,ldp_update_labels_eps10_logistic_regression,5554,0.6521035598705501,0.713209219858156,0.6234676007005254,0.615916955017301,0.6312056737588653,ldp,10.0,update_labels
ldp_update_labels_eps10,random_forest,ldp_update_labels_eps10_random_forest,5554,0.6682847896440129,0.7090932117527863,0.6397188049209139,0.6341463414634146,0.6453900709219859,ldp,10.0,update_labels
ldp_update_labels_eps10,xgboost,ldp_update_labels_eps10_xgboost,5554,0.6472491909385113,0.6911305302262749,0.6175438596491228,0.6111111111111112,0.624113475177305,ldp,10.0,update_labels
ldp_add_comparators_eps10,logistic_regression,ldp_add_comparators_eps10_logistic_regression,8212,0.6699029126213593,0.7224966227625802,0.5659574468085106,0.7074468085106383,0.4716312056737589,ldp,10.0,add_comparators
ldp_add_comparators_eps10,random_forest,ldp_add_comparators_eps10_random_forest,8212,0.6796116504854369,0.7344330462681526,0.611764705882353,0.6842105263157895,0.5531914893617021,ldp,10.0,add_comparators
ldp_add_comparators_eps10,xgboost,ldp_add_comparators_eps10_xgboost,8212,0.63915857605178,0.6971990037149611,0.5768500948766604,0.6204081632653061,0.5390070921985816,ldp,10.0,add_comparators
ldp_add_comparators_bidir_eps10,logistic_regression,ldp_add_comparators_bidir_eps10_logistic_regression,11107,0.6747572815533981,0.7199636946977374,0.5821205821205822,0.7035175879396985,0.49645390070921985,ldp,10.0,add_comparators_bidir
ldp_add_comparators_bidir_eps10,random_forest,ldp_add_comparators_bidir_eps10_random_forest,11107,0.6812297734627831,0.7335781830462682,0.6233269598470363,0.6763485477178424,0.5780141843971631,ldp,10.0,add_comparators_bidir
ldp_add_comparators_bidir_eps10,xgboost,ldp_add_comparators_bidir_eps10_xgboost,11107,0.6375404530744336,0.6839222391084093,0.5741444866920152,0.6188524590163934,0.5354609929078015,ldp,10.0,add_comparators_bidir
fl_ldp_eps10_baseline,lr,baseline_lr,5554,0.6779935275080906,0.7222538838230328,0.6135922330097089,0.6781115879828327,0.5602836879432624,ldp,10.0,fairlearn
fl_ldp_eps10_baseline,rf,baseline_rf,5554,0.6812297734627831,0.7329660587639311,0.6358595194085028,0.6640926640926641,0.6099290780141844,ldp,10.0,fairlearn
fl_ldp_eps10_baseline,xgb,baseline_xgb,5554,0.6521035598705501,0.7052727119216481,0.6069469835466178,0.6264150943396226,0.5886524822695035,ldp,10.0,fairlearn
fl_ldp_eps10_eg_dp,lr,eg_dp_lr,5554,0.6601941747572816,0.7125021107733873,0.5898437500000001,0.6565217391304348,0.5354609929078015,ldp,10.0,fairlearn
fl_ldp_eps10_eg_dp,rf,eg_dp_rf,5554,0.6731391585760518,0.7199425869638636,0.6353790613718412,0.6470588235294118,0.624113475177305,ldp,10.0,fairlearn
fl_ldp_eps10_eg_dp,xgb,eg_dp_xgb,5554,0.6423948220064725,0.6997635933806147,0.606060606060606,0.6093189964157706,0.6028368794326241,ldp,10.0,fairlearn
fl_ldp_eps10_eg_eo,lr,eg_eo_lr,5554,0.6715210355987055,0.7157210401891252,0.6177024482109228,0.6586345381526104,0.5815602836879432,ldp,10.0,fairlearn
fl_ldp_eps10_eg_eo,rf,eg_eo_rf,5554,0.6796116504854369,0.7254411516379602,0.6413043478260869,0.6555555555555556,0.6276595744680851,ldp,10.0,fairlearn
fl_ldp_eps10_eg_eo,xgb,eg_eo_xgb,5554,0.6456310679611651,0.7023070753123943,0.6082289803220036,0.6137184115523465,0.6028368794326241,ldp,10.0,fairlearn
fl_ldp_eps10_eg_tpr,lr,eg_tpr_lr,5554,0.6553398058252428,0.7135891590678825,0.5847953216374269,0.6493506493506493,0.5319148936170213,ldp,10.0,fairlearn
fl_ldp_eps10_eg_tpr,rf,eg_tpr_rf,5554,0.6747572815533981,0.7237208713272543,0.6365280289330921,0.6494464944649446,0.624113475177305,ldp,10.0,fairlearn
fl_ldp_eps10_eg_tpr,xgb,eg_tpr_xgb,5554,0.6472491909385113,0.6963758020938872,0.6064981949458483,0.6176470588235294,0.5957446808510638,ldp,10.0,fairlearn
fl_ldp_eps10_gs_dp,lr,gs_dp_lr,5554,0.6585760517799353,0.7113095238095237,0.5870841487279843,0.6550218340611353,0.5319148936170213,ldp,10.0,fairlearn
fl_ldp_eps10_gs_dp,rf,gs_dp_rf,5554,0.6553398058252428,0.7143595913542722,0.6162162162162163,0.6263736263736264,0.6063829787234043,ldp,10.0,fairlearn
fl_ldp_eps10_gs_dp,xgb,gs_dp_xgb,5554,0.63915857605178,0.6942650287065181,0.6053097345132743,0.6042402826855123,0.6063829787234043,ldp,10.0,fairlearn
fl_ldp_eps10_gs_eo,lr,gs_eo_lr,5554,0.6779935275080906,0.7222538838230328,0.6135922330097089,0.6781115879828327,0.5602836879432624,ldp,10.0,fairlearn
fl_ldp_eps10_gs_eo,rf,gs_eo_rf,5554,0.6812297734627831,0.7329660587639311,0.6358595194085028,0.6640926640926641,0.6099290780141844,ldp,10.0,fairlearn
fl_ldp_eps10_gs_eo,xgb,gs_eo_xgb,5554,0.6521035598705501,0.7052727119216481,0.6069469835466178,0.6264150943396226,0.5886524822695035,ldp,10.0,fairlearn
fl_ldp_eps10_to_dp,lr,to_dp_lr,5554,0.6537216828478964,0.7222538838230328,0.6323024054982818,0.6133333333333333,0.6524822695035462,ldp,10.0,fairlearn
fl_ldp_eps10_to_dp,rf,to_dp_rf,5554,0.6634304207119741,0.7329660587639311,0.6462585034013606,0.6209150326797386,0.6737588652482269,ldp,10.0,fairlearn
fl_ldp_eps10_to_dp,xgb,to_dp_xgb,5554,0.6407766990291263,0.7052727119216481,0.615916955017301,0.6013513513513513,0.6312056737588653,ldp,10.0,fairlearn
fl_ldp_eps10_to_eo,lr,to_eo_lr,5554,0.6423948220064725,0.7222538838230328,0.6310517529215358,0.5962145110410094,0.6702127659574468,ldp,10.0,fairlearn
fl_ldp_eps10_to_eo,rf,to_eo_rf,5554,0.6521035598705501,0.7329660587639311,0.6181172291296625,0.6192170818505338,0.6170212765957447,ldp,10.0,fairlearn
fl_ldp_eps10_to_eo,xgb,to_eo_xgb,5554,0.6375404530744336,0.7052727119216481,0.6083916083916083,0.6,0.6170212765957447,ldp,10.0,fairlearn
